"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c"
"a0V5f000000xlNIEAY","","SC-000000162","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","a0T5f000000YKPXEA4","1.01","LLC_BI__Collateral_Modal_Details","","","","false","","","Details","","false","42409749932435151","LLC_BI__Loan_Collateral2__c",""
"a0V5f000000xlNJEAY","","SC-000000163","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","a0T5f000000YKPYEA4","1.01","LLC_BI__Collateral_Valuation","","","","false","","","Collateral Valuation","","false","42842712324142343","LLC_BI__Collateral__c",""
"a0V5f000000xlNKEAY","","SC-000000164","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","a0T5f000000YKPZEA4","1.01","LLC_BI__Pledge_Details","","","","false","","","Pledge Details","","false","42406518548278125","LLC_BI__Loan_Collateral2__c",""
"a0V5f000000xlNLEAY","","SC-000000165","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","a0T5f000000YKPaEAO","1.01","LLC_BI__Collateral_Search_Results","","","","false","","","Search Results","","false","42891983380511719","LLC_BI__Collateral__c",""
"a0V5f000000xlNREAY","","SC-000000171","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","2021-09-23T15:46:49.000Z","0055f0000032WxDAAU","","a0T5f000000YKPgEAO","1.01","LLC_BI__Bulk_Pledge_Details","","","","false","","","","","false","42319165325254551","LLC_BI__Loan_Collateral2__c",""
